N,P,K,temperature,humidity,ph,rainfall,label
79.38,29.13,45.0,29.72,80.73,6.57,187.8,rice
52.69,61.46,58.82,24.59,62.0,6.55,75.48,tomato
85.82,46.04,31.23,21.99,66.43,6.47,105.26,maize
67.99,53.79,59.72,23.1,68.56,6.71,93.28,tomato
103.45,47.52,33.63,28.95,84.18,5.83,195.55,rice
76.64,42.87,45.47,27.6,70.6,6.58,58.67,cotton
96.52,33.99,41.94,25.32,61.57,6.35,66.87,maize
88.15,33.43,45.15,16.3,49.99,6.27,74.69,maize
101.62,46.26,35.76,22.45,70.83,6.39,54.5,maize
47.74,53.18,48.99,21.36,70.12,6.12,82.83,beans
98.44,57.72,71.58,14.35,73.44,6.56,68.88,cabbage
22.64,66.63,39.2,17.83,69.02,5.99,93.85,beans
91.84,29.2,43.9,28.05,81.64,6.59,195.86,rice
47.33,50.02,27.92,20.97,73.2,5.77,51.9,beans
76.99,55.47,74.38,24.19,59.17,6.4,82.82,tomato
40.19,63.02,44.09,19.29,73.68,6.04,71.68,beans
73.84,46.82,70.68,23.33,71.52,6.59,59.57,cabbage
102.86,46.06,60.57,17.88,57.24,6.28,78.26,cabbage
42.84,35.21,42.3,23.84,49.49,6.79,53.77,cotton
62.82,42.11,49.1,29.33,48.25,7.48,21.96,cotton
92.68,51.71,55.01,21.91,66.64,6.07,73.25,maize
103.53,50.9,51.69,25.36,66.73,5.37,130.7,maize
100.39,52.43,69.05,19.44,79.87,6.55,55.49,cabbage
120.36,53.04,59.24,20.83,74.73,6.37,69.66,cabbage
109.5,45.63,37.92,27.53,83.12,5.56,168.2,rice
51.89,46.84,51.57,24.8,52.25,6.72,78.96,cotton
53.08,55.09,79.05,23.02,67.72,6.85,50.16,tomato
77.02,37.39,21.93,28.41,84.11,6.48,217.41,rice
58.3,28.96,50.04,27.09,57.55,6.97,35.13,cotton
90.71,33.87,42.42,26.54,77.43,6.09,207.05,rice
92.15,43.89,73.24,15.62,75.45,6.29,50.86,cabbage
70.07,63.96,100.13,13.03,81.28,5.62,77.53,potato
62.86,60.92,69.09,24.47,61.0,6.18,67.21,tomato
38.38,62.05,47.58,12.97,72.91,5.51,76.96,beans
81.13,49.03,62.26,22.15,63.77,6.46,89.15,tomato
95.77,44.05,40.43,21.41,68.92,5.24,69.19,maize
79.27,56.62,112.95,15.01,63.96,5.73,69.31,potato
43.51,53.05,43.13,19.87,66.13,6.11,71.78,beans
82.01,62.15,112.55,18.66,76.41,5.55,76.38,potato
91.87,51.64,72.15,19.83,70.94,6.84,69.15,cabbage
66.76,47.85,56.64,23.23,69.96,6.65,54.13,tomato
57.44,33.05,47.54,21.71,58.07,6.65,69.53,cotton
68.26,64.5,75.61,20.4,76.54,6.58,85.11,tomato
55.07,37.37,41.72,26.7,41.13,7.06,28.43,cotton
61.9,58.56,98.0,20.59,59.2,5.95,45.6,potato
59.65,57.76,55.92,23.69,63.17,6.32,58.05,tomato
42.06,45.98,43.47,17.18,63.11,6.27,90.42,beans
93.66,50.32,50.45,21.84,58.78,6.15,56.27,maize
55.23,31.09,37.49,27.73,51.83,6.81,82.55,cotton
59.69,59.09,48.89,23.67,61.35,6.48,95.25,tomato
87.7,35.52,30.63,25.83,63.14,6.85,100.76,maize
99.34,62.72,67.2,18.52,78.67,6.39,51.57,cabbage
76.88,57.37,89.14,12.61,79.14,5.32,47.57,potato
41.28,34.6,51.29,26.74,66.04,6.8,58.75,cotton
30.74,62.69,41.87,22.19,71.01,5.8,106.61,beans
49.07,18.98,48.81,25.17,58.35,6.78,74.05,cotton
91.48,54.52,99.39,16.22,63.46,5.76,77.89,potato
62.68,40.14,52.27,30.32,63.49,6.92,52.01,cotton
77.52,46.98,31.37,30.75,82.08,6.31,173.45,rice
89.61,27.15,22.44,26.51,81.7,5.75,189.01,rice
57.54,33.15,44.48,25.89,49.03,7.15,33.03,cotton
92.38,45.95,106.67,18.53,74.25,5.99,83.99,potato
87.87,60.04,102.16,15.4,65.7,6.76,57.16,potato
97.39,51.68,37.38,23.82,65.62,6.18,93.8,maize
60.43,37.56,41.64,29.14,70.96,6.89,62.08,cotton
69.88,58.03,60.39,25.21,52.26,5.95,74.53,tomato
99.52,59.14,29.7,20.35,57.14,6.34,100.82,maize
99.33,55.39,38.56,18.77,70.63,5.87,101.13,maize
94.1,64.07,121.03,17.38,73.38,5.76,71.19,potato
78.5,43.79,37.66,28.64,71.96,7.31,44.62,cotton
39.82,47.46,55.6,19.48,60.7,5.48,105.43,beans
65.78,41.32,62.07,19.74,57.27,6.51,32.29,cotton
78.25,24.77,48.08,28.72,66.36,7.29,41.0,cotton
34.14,36.36,43.64,14.67,67.08,5.94,83.59,beans
112.12,35.95,43.19,24.58,85.87,6.2,188.9,rice
49.45,31.69,47.97,26.78,65.71,7.0,47.94,cotton
100.15,35.34,39.41,24.38,90.29,6.25,269.99,rice
90.81,68.31,37.7,20.47,49.63,5.6,122.22,maize
60.24,54.02,62.89,19.88,64.52,6.43,71.02,tomato
33.31,56.99,63.61,22.25,46.25,5.77,88.59,beans
85.64,41.36,41.86,22.29,62.9,6.02,95.38,maize
86.07,53.14,77.77,18.16,81.31,5.84,91.24,cabbage
103.12,47.73,46.26,27.21,72.49,5.81,180.47,rice
95.84,46.38,48.1,24.7,48.19,6.45,79.33,maize
49.55,47.88,52.7,15.3,53.23,5.96,42.06,beans
57.0,23.03,39.97,29.26,48.71,6.73,84.32,cotton
93.28,70.29,90.02,19.91,59.82,5.63,76.72,potato
71.49,22.05,54.82,30.08,46.43,6.53,39.59,cotton
73.49,40.73,60.14,21.93,64.99,6.32,49.33,tomato
83.09,45.81,109.91,15.98,75.81,5.47,54.11,potato
91.95,31.6,25.94,21.9,55.24,6.24,115.49,maize
59.78,56.74,44.64,21.55,76.48,6.29,62.77,tomato
107.3,36.75,32.28,29.84,85.49,6.55,183.18,rice
77.85,46.66,110.29,21.44,72.44,6.21,82.68,potato
81.46,61.69,86.32,14.05,64.69,5.9,76.56,potato
85.69,51.27,64.88,12.43,77.9,5.77,50.71,cabbage
61.83,26.62,48.03,21.85,57.69,6.94,49.56,cotton
27.29,67.96,44.65,20.72,66.98,6.08,92.21,beans
50.33,37.58,52.89,28.69,63.03,7.36,31.68,cotton
78.49,42.29,36.84,24.16,43.97,6.97,69.35,maize
40.78,64.5,47.88,20.93,65.37,5.09,87.96,beans
69.81,43.73,32.99,28.53,60.74,5.58,100.31,maize
60.92,44.9,44.2,29.24,54.04,6.8,37.57,cotton
86.11,54.23,57.98,24.17,71.96,6.47,52.76,tomato
39.81,61.42,34.12,22.31,74.36,5.92,108.06,beans
78.04,61.17,99.32,15.39,64.55,5.61,63.29,potato
101.78,36.98,32.57,28.44,84.43,5.95,222.78,rice
90.82,53.83,103.63,18.72,66.82,5.56,96.15,potato
94.38,49.2,37.21,23.79,77.64,6.26,198.74,rice
39.08,63.73,47.32,17.12,74.06,6.05,45.42,beans
95.17,43.09,37.33,24.98,48.7,7.24,93.76,maize
67.22,44.89,63.61,25.11,48.29,6.5,70.32,cotton
24.98,58.26,45.54,19.84,60.72,6.32,95.69,beans
62.35,36.77,43.3,28.31,49.18,6.65,52.94,cotton
83.4,63.88,110.67,17.73,67.65,5.94,73.19,potato
93.72,54.75,110.46,19.93,63.99,5.91,46.27,potato
76.2,58.75,95.17,16.65,85.56,5.61,47.99,potato
56.81,23.53,47.43,31.41,38.67,6.75,47.91,cotton
38.29,65.96,29.52,18.85,66.63,6.41,50.73,beans
65.95,36.75,62.53,22.56,79.35,6.53,68.25,tomato
96.32,63.78,77.31,15.58,62.58,6.42,80.48,cabbage
71.72,53.5,38.83,21.13,70.07,6.45,79.49,tomato
37.99,45.03,51.22,15.64,74.53,6.44,56.41,beans
74.13,47.98,67.38,19.9,55.95,6.44,61.23,cabbage
67.14,54.07,48.79,24.7,59.34,6.82,48.02,cotton
94.26,56.49,26.19,28.78,86.71,6.16,184.2,rice
83.8,39.33,74.89,21.24,84.32,6.71,49.11,cabbage
88.12,38.26,41.81,23.91,86.31,6.57,160.31,rice
97.17,38.42,69.36,21.69,67.78,5.94,52.78,cabbage
95.48,39.76,38.09,25.11,58.49,6.06,81.19,maize
35.51,77.84,40.0,15.77,56.8,6.03,60.48,beans
109.56,41.26,71.27,17.09,83.0,5.8,56.31,cabbage
101.29,44.36,48.85,30.28,51.53,7.03,86.42,maize
56.81,25.28,52.62,26.34,44.35,6.69,24.42,cotton
79.76,37.76,53.21,24.79,66.76,6.19,103.25,maize
97.82,66.59,86.66,16.67,77.15,5.78,67.99,potato
